address,telegram 
0xa58212a35181eF2A3dD679D7C8128700D6942d4d,coin
0x935560cD23BE1f3a8e115B657Fecb599e158bDfC,rev
0x8641748C05C3AbB0a29A07c8A425c160dCB5Ade1,elisik
0x4d16dc8de1E63EB2bC5f80aC4d152E57E9da51BA,nogo
0xC0a717EbCd88e013b9bB8cECF060d5191296f61f,xen
0x543519E5302795Cd7bA492b9FF821d4713CDe90d,lance
0x00d4c898A44fC66DA4a4ccc2997929C95a565041,fillcap
0x8A4a6348083e9488eA354F8aA2AED5Ad6027d68b,mevElisik
0xc7f91e6650fe21791b1f8af864ed019b6853294e,cryptaar0n
0x007F3f38041E44017C36DEdc61930abCf9B949fA,Alhajidele
0x53d98d7cf2E3d03Ef031fDEC197792d0c713303d,PufferjacketDoggy
0x23c4e738F67C38650b966ae1DcBAcD0e96696a42,ProAssist777
0x64F9f0cb7E34E7E9160B93fe558b3CCa72387922,Dejii4pf
0xd117845664c099c85496ae09c971c6ee35360537,burstingbagel
0x8FED8509Fd1D649dB8f58E1e24A401fF8757b7BC,Francesco_Oddo
0x8C2c8A1c7E89481210686e6e60E986c6f6c6f619,Opbhai11
0x41F15eD259C34229088223FE53Af573b7b662e97,bodhamas
0x8106C8c338B0D86a78Ae9011Ba717e8eaa3Ae9d4,cringit
0x63440DE92C437967aA08EC0Dd51850FF7FD94aff,jeegen
0x043Be57cA9A428762C68C6A13cC1266512589E7D,meytahuy
0xf89d78D330434e110b0B5C27b8308d225142Da03,ojoneadejoh
0xB39Ef9E78Ae92023E697561D76959dbFd3BB641e,Subarash_i
0x62eF238efCAD502f951FF51698A627eA6d03B103,deekitch
0xe4024D649542921E10fd2035f30e8631cf2Ece12,rukkiesmua
0x0A251dF99A88A20a93876205Fb7f5Faf2E85A481,eNDMan
0x4cBC2e1c86C5eA7C5eA742A4e77696E4852840b5,sirfayiz
0x55333B9eA6f78E2f1407434A7fBF06f2914521b6,mariposakk
0x390d4203c3AA9B5deB4E2eF187c252db92a8623f,Floatright007
0xa070C820Cc88017985782cE13a152a6974418D31,galborta
0xA1D29EB203C8BE4c4522e1ec37D81780bd5DEA55,justinmoore21
0x82D1883ca96e57773429E785F195E32783B1C246,ehuang68
0xcaE01Ce7Ea66079Fe24B0cBE9Cadcd4dc431A019,sneakyping
0xfB6B50A790249a5BC8968CddaE5B32d5c598BFDF,Akanbi96
0x2e4f0e9240E9240a54d352e90F4CB614bB18C6f7,Samcz45
0xC32b7438b3dF7844c9eE799930a2224Fe6E26426,ssiiki14
0xC1E2Df7aA0E68a733F2AafCeFfaaBbBAded43346,eljaladz
